Application_mode,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Previous_qualification_grade,Admission_grade,Displaced,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade
17,0,1,1,0,20,122.0,127.3,1,0,0,0.0,0,0,0.0
15,0,0,1,0,19,160.0,142.5,1,6,6,14.0,6,6,13.666666666666666
1,0,0,1,0,19,122.0,124.8,1,6,0,0.0,6,0,0.0
17,0,1,0,0,20,122.0,119.6,1,6,6,13.428571428571429,6,5,12.4
39,0,1,0,0,45,100.0,141.5,0,6,5,12.333333333333334,6,6,13.0
39,1,1,1,0,50,133.1,114.8,0,5,5,11.857142857142858,5,5,11.5
1,0,1,0,1,18,142.0,128.4,1,7,7,13.3,8,8,14.345
18,0,0,1,0,22,119.0,113.1,1,5,0,0.0,5,0,0.0
1,0,1,0,1,21,137.0,129.3,0,6,6,13.875,6,6,14.142857142857142
1,1,0,0,0,18,138.0,123.0,1,6,5,11.4,6,2,13.5
1,0,1,0,0,18,139.0,130.6,1,6,6,12.333333333333334,6,5,14.2
1,0,1,0,1,18,136.0,119.3,1,8,7,13.214285714285714,8,7,13.214285714285714
1,0,1,0,0,19,133.0,130.2,1,6,0,0.0,6,0,0.0
53,0,1,0,1,21,110.0,111.8,1,6,6,10.571428571428571,6,5,11.0
1,0,1,0,1,18,149.0,137.1,1,5,4,13.25,5,5,12.0
1,0,1,0,0,20,127.0,120.7,1,6,5,13.2,6,0,0.0
18,0,1,0,0,18,137.0,137.4,1,6,1,12.0,6,2,11.0
17,0,1,0,0,18,135.0,127.3,1,7,7,13.30625,8,8,14.545
1,0,1,0,0,20,137.0,136.3,1,5,4,12.5,5,4,12.25
1,0,1,0,0,18,140.0,124.6,1,7,6,11.666666666666666,7,6,13.5
1,0,1,0,1,21,122.0,120.3,0,0,0,0.0,0,0,0.0
